EncuestaID,FechaEncuesta,HoraEncuesta,RangoEdad,Genero,Departamento,Municipio,Ocupacion,FrecuenciaConsumoSnacks,LugarCompraSnacks,ConQuienVePartidos,GastoSnacksPartido,SnacksSeleccionados,SaborPreferido,PresentacionPreferida,PrecioAdecuado,PagaMasEdicionMundial,PlaneaVerMundial2026,SeleccionApoya,CompraDisenoSeleccion,SeleccionInfluyeCompra,JugadoresInfluyentes,TipoPublicidadAtractiva,PromocionPreferida,CompraTarjetasColeccionables,CampaniaMasProbableCompra
20,2026-03-31,10:59:38,18 - 24 años,Femenino,Guatemala,San Miguel Petapa,Empresario,Varias veces al mes,Gasolinera,Amigos,Q51 - Q100,Hot Stadium Peanuts; Mundialitos Queso Picante; FutbolMix,Queso,Familiar,Q16 - Q20,Sí,Sí,Estados Unidos,Definitivamente sí,Inglaterra,Jude Bellingham,Premios y sorteos,Sorteo de viajes,Sí,Edición con jugadores famosos
21,2026-02-17,12:08:17,25 - 34 años,Masculino,Jutiapa,Jutiapa,Empleado público,1 a 2 veces por semana,Supermercado,Amigos,Q25 - Q50,ChocoKick Bites; FutbolMix; Fan Chips Jalapeño,Barbacoa,Tamaño fiesta o reunión,Q16 - Q20,Sí,Sí,Brasil,Probablemente sí,Inglaterra,Lionel Messi; Rodri; Harry Kane,Historias de aficionados,Sorteo de camisetas,No,Edición Brasil
22,2026-04-16,07:10:32,25 - 34 años,Masculino,Jalapa,Otro municipio,Empleado privado,Todos los días,Tienda de barrio,Familia,Q51 - Q100,Fan Chips Jalapeño; Victory Pretzels,Barbacoa,Familiar,Q21 - Q30,Sí,Sí,Irán,Probablemente no,Brasil,Lionel Messi; Cristiano Ronaldo; Neymar Jr.,Historias de aficionados,Tarjetas coleccionables,No,Edición Brasil
23,2026-03-30,12:07:11,25 - 34 años,Masculino,Guatemala,Guatemala,Empresario,Todos los días,Tienda de barrio,Otro,Q25 - Q50,FutbolMix,Caramelo,Familiar,Q16 - Q20,Sí,Sí,Estados Unidos,Tal vez,Inglaterra,Vinícius Júnior; Lionel Messi; Christian Pulisic,Humor,Descuento directo,Sí,Edición Mundial FIFA 2026
24,2026-02-11,09:29:29,18 - 24 años,Femenino,Guatemala,San Miguel Petapa,Otro,Todos los días,Otro,Amigos,Q101 - Q150,Mundialitos Queso Picante; ChocoKick Bites,Queso,Familiar,Q21 - Q30,No,Sí,Brasil,Tal vez,Francia,Neymar Jr.; Vinícius Júnior,Historias de aficionados,Sorteo de viajes,No,Edición Francia
25,2026-04-16,10:46:54,45 - 54 años,Femenino,Guatemala,Santa Catarina Pinula,Empresario,3 a 5 veces por semana,Tienda de barrio,Solo,Q51 - Q100,FutbolMix; Mundialitos Queso Picante,Limón,Familiar,Q16 - Q20,Sí,Sí,Portugal,Definitivamente sí,México,Lionel Messi,Premios y sorteos,Descuento directo,Sí,Edición con tarjetas coleccionables
26,2026-04-18,20:55:47,18 - 24 años,Femenino,Petén,Poptún,Empleado privado,1 a 2 veces por semana,Supermercado,Familia,Q25 - Q50,ChocoKick Bites; FutbolMix,Picante Chapín,Para compartir entre 2 personas,Q21 - Q30,Sí,Sí,España,Definitivamente sí,Inglaterra,Lamine Yamal; Kylian Mbappé,Humor,2x1,No,Edición Francia
27,2026-02-06,10:57:28,25 - 34 años,Femenino,Chimaltenango,Tecpán Guatemala,Jubilado,Todos los días,Supermercado,Familia,Menos de Q25,ChocoKick Bites,Chocolate,Familiar,Q21 - Q30,Sí,No,Brasil,Definitivamente sí,Argentina,Kylian Mbappé,Premios y sorteos,Descuento directo,Sí,Edición con tarjetas coleccionables
28,2026-03-14,08:34:22,25 - 34 años,Femenino,Chimaltenango,Chimaltenango,Otro,1 a 2 veces por semana,Aplicación de delivery,Amigos,Menos de Q25,Energy Crunch Protein,Salado Tradicional,Individual,Q10 - Q15,No,Sí,México,Tal vez,México,Lionel Messi; Jude Bellingham,Historias de aficionados,Producto gratis,Sí,Edición Inglaterra
29,2026-05-01,11:43:51,25 - 34 años,Masculino,Guatemala,San Miguel Petapa,Estudiante,3 a 5 veces por semana,Tienda de barrio,Amigos,Q25 - Q50,Gol Nachos Supreme,Barbacoa,Familiar,Q16 - Q20,No,Sí,España,Definitivamente sí,México,Ninguno,Historias de aficionados,Producto gratis,Sí,Edición con jugadores famosos
30,2026-03-09,10:15:42,25 - 34 años,Masculino,Guatemala,San Miguel Petapa,Empresario,Todos los días,Gasolinera,Amigos,Q51 - Q100,FutbolMix; Mundialitos Queso Picante,Dulce,Familiar,Q16 - Q20,Sí,Sí,Brasil,Probablemente sí,Argentina,Ninguno; Lionel Messi; Jude Bellingham,Un jugador famoso,Descuento directo,No,Edición Brasil
31,2026-02-17,15:28:47,25 - 34 años,Femenino,Sacatepéquez,Ciudad Vieja,Profesional independiente,Todos los días,Tienda de barrio,Amigos,Q25 - Q50,Fan Chips Jalapeño; CrunchMax BBQ,Picante Chapín,Tamaño fiesta o reunión,Q16 - Q20,No,Sí,Corea del Sur,Definitivamente sí,Estados Unidos,Rodri,Premios y sorteos,Producto gratis,Sí,Edición con tarjetas coleccionables
32,2026-03-16,16:02:47,18 - 24 años,Masculino,Escuintla,Santa Lucía Cotzumalguapa,Estudiante,1 a 2 veces por semana,Tienda de barrio,Familia,Q51 - Q100,Victory Pretzels; Fan Chips Jalapeño; Gol Nachos Supreme,Limón,Para compartir entre 2 personas,Q21 - Q30,Sí,Sí, ESTADOS UNIDOS ,Probablemente sí,Brasil,Cristiano Ronaldo; Vinícius Júnior; Alphonso Davies,Humor,2x1,No,Edición Brasil
33,2026-03-18,14:00:26,18 - 24 años,Femenino,Escuintla,Escuintla,Profesional independiente,Todos los días,Otro,Amigos,Q51 - Q100,Mundialitos Queso Picante; CrunchMax BBQ; Caramel Goal Popcorn,Jalapeño,Para compartir entre 2 personas,Q16 - Q20,No,Sí, FRANCIA ,Tal vez,Inglaterra,Harry Kane; Rodri,Historias de aficionados,2x1,No,Edición con jugadores famosos
34,2026-05-02,10:26:15,25 - 34 años,Femenino,Chimaltenango,Tecpán Guatemala,Empresario,Varias veces al mes,Supermercado,Familia,Q101 - Q150,CrunchMax BBQ,Barbacoa,Familiar,Q16 - Q20,No,Sí,Noruega,Probablemente sí,Francia,Lionel Messi,Una selección nacional,Producto gratis,Sí,Edición Inglaterra
35,2026-01-12,21:27:56,Menos de 18 años,Masculino,Guatemala,Guatemala,Empleado privado,Todos los días,Supermercado,Familia,Menos de Q25,Fan Chips Jalapeño,Picante Chapín,Familiar,Q16 - Q20,Sí,Sí,Brasil,Probablemente sí, PORTUGAL ,Christian Pulisic,Historias de aficionados,Sorteo de viajes,No,Edición Argentina
36,2026-03-24,15:20:27,25 - 34 años,Masculino,El Progreso,Cabecera municipal,Empleado privado,Todos los días,Tienda de barrio,Familia,Q51 - Q100,Caramel Goal Popcorn; ChocoKick Bites,Jalapeño,Para compartir entre 2 personas,Q10 - Q15,No,Sí,Argentina,Definitivamente sí,Jordania,Lamine Yamal,Una selección nacional,Sorteo de camisetas,Sí,Edición Mundial FIFA 2026
37,2026-02-19,10:42:21,18 - 24 años,Femenino,Quiché,Otro municipio,Profesional independiente,3 a 5 veces por semana,Supermercado,Solo,Q51 - Q100,ChocoKick Bites; Mundialitos Queso Picante; Fan Chips Jalapeño,,Familiar,Q21 - Q30,Sí,Sí,Portugal,Probablemente sí,Brasil,Federico Valverde,Un jugador famoso,Sorteo de viajes,Sí,Edición Francia
38,2026-02-28,16:58:55,25 - 34 años,Femenino,Guatemala, SAN MIGUEL PETAPA ,Profesional independiente,Rara vez,Aplicación de delivery,Otro,Q51 - Q100,FutbolMix; Energy Crunch Protein,Jalapeño,Familiar,Q16 - Q20,Sí,Sí,España,Probablemente sí,España,Lionel Messi; Jude Bellingham; Vinícius Júnior,Historias de aficionados,Descuento directo,No,Edición España
39,2026-04-26,07:48:49,Menos de 18 años,Masculino,Chiquimula,Cabecera municipal,Estudiante,Todos los días,Gasolinera,Compañeros de trabajo,Más de Q150,ChocoKick Bites; Caramel Goal Popcorn; FutbolMix,Limón,Individual,Q10 - Q15,No,Sí,Argentina,Definitivamente sí,México,Ninguno,Premios y sorteos,Sorteo de camisetas,Sí,Edición España
40,2026-01-29,13:20:10,45 - 54 años,Femenino,Quiché,Cabecera municipal,Empresario,3 a 5 veces por semana,,Familia,Menos de Q25,Fan Chips Jalapeño; ChocoKick Bites; FutbolMix,Limón,Individual,Más de Q30,Sí,Sí,Argentina,Definitivamente sí,México,Jude Bellingham,Una selección nacional,2x1,No,Edición Inglaterra
41,2026-01-25,19:16:37,18 - 24 años,Femenino,Quetzaltenango,Olintepeque,,3 a 5 veces por semana,Supermercado,Otro,Q101 - Q150,Mundialitos Queso Picante,Limón,Para compartir entre 2 personas,Q10 - Q15,Sí,Sí,Francia,Definitivamente sí,Francia,Cristiano Ronaldo; Vinícius Júnior; Rodri,Premios y sorteos,Descuento directo,Sí,Edición Brasil
42,2026-04-06,20:04:30,18 - 24 años,Femenino,Escuintla,Santa Lucía Cotzumalguapa,Ama de casa,1 a 2 veces por semana,Aplicación de delivery,Amigos,Q51 - Q100,Hot Stadium Peanuts; Caramel Goal Popcorn,Queso,Familiar,Q21 - Q30,Sí,Sí,Argentina,Definitivamente sí,Estados Unidos,Neymar Jr.; Julián Álvarez,Premios y sorteos,Tarjetas coleccionables,Sí,Edición Argentina
43,2026-03-14,22:44:27,18 - 24 años,Femenino, GUATEMALA ,Villa Nueva,Ama de casa,Todos los días,Tienda de barrio,Amigos,Menos de Q25,Energy Crunch Protein,Salado Tradicional,Individual,Más de Q30,Sí,Sí,Estados Unidos,Definitivamente sí,Inglaterra,Lamine Yamal; Kylian Mbappé,Historias de aficionados,Descuento directo,No,Edición Mundial FIFA 2026
44,2026-03-05,14:41:13,45 - 54 años,Masculino,Guatemala,Villa Nueva,Ama de casa,1 a 2 veces por semana,Supermercado,Amigos,Q51 - Q100,Energy Crunch Protein,Caramelo,Familiar,Q16 - Q20,No,Sí,Francia,Probablemente sí, PORTUGAL ,Neymar Jr.; Jude Bellingham,Historias de aficionados,2x1,Sí,Edición Argentina
45,2026-04-18,17:45:15,25 - 34 años,Femenino,Guatemala,Mixco,Estudiante,Varias veces al mes,Supermercado,Familia,Q25 - Q50,CrunchMax BBQ; Mundialitos Queso Picante; Caramel Goal Popcorn,Queso,Familiar,Q10 - Q15,No,Sí,Brasil,Probablemente sí,Portugal,Vinícius Júnior,Humor,Tarjetas coleccionables,No,Edición España
46,2026-03-16,20:47:20,45 - 54 años,Masculino,Quetzaltenango,Olintepeque,Estudiante,3 a 5 veces por semana,Tienda de barrio,Solo,Q25 - Q50,Hot Stadium Peanuts; Fan Chips Jalapeño; FutbolMix,Picante Chapín,Para compartir entre 2 personas,Más de Q30,No,Sí,Portugal,Tal vez,Argentina,Rodri; Jude Bellingham,Una selección nacional,Sorteo de camisetas,No,Edición con jugadores famosos
47,2026-01-21,18:25:48,35 - 44 años,Masculino,Guatemala,Guatemala,Comerciante,1 a 2 veces por semana,Tienda de barrio,Compañeros de trabajo,Q51 - Q100,Fan Chips Jalapeño; Gol Nachos Supreme,Limón,Individual,Q10 - Q15,Sí,No,Argentina,Definitivamente sí,Inglaterra,Ninguno; Lionel Messi; Vinícius Júnior,Un jugador famoso,2x1,Sí,Edición Francia
48,2026-03-12,21:44:33,35 - 44 años,Masculino,Chimaltenango,Chimaltenango,Estudiante,Todos los días,Gasolinera,Amigos,Q51 - Q100,CrunchMax BBQ,Queso,Individual,Más de Q30,Sí,Sí, ARGENTINA ,Tal vez,España,Lionel Messi,Una selección nacional,Descuento directo,Sí,Edición con tarjetas coleccionables
49,2026-02-22,18:11:52,45 - 54 años,Femenino,Totonicapán,Totonicapán,Empleado privado,Todos los días,Tienda de barrio,Familia,Q25 - Q50,CrunchMax BBQ,Queso,Familiar,Más de Q30,Sí,Sí,Argentina,Definitivamente sí,México,Neymar Jr.,Humor,Sorteo de viajes,No,Edición Inglaterra
50,2026-03-16,20:07:23,Menos de 18 años,Prefiero no indicarlo,Escuintla,Escuintla,Empleado privado,Todos los días,Gasolinera,Amigos,Q51 - Q100,ChocoKick Bites; Fan Chips Jalapeño,Dulce,Familiar,Q10 - Q15,No,Sí,Francia,Probablemente sí,Argentina,Cristiano Ronaldo,Un jugador famoso,Descuento directo,Sí,Edición con jugadores famosos
51,2026-01-25,21:57:57,18 - 24 años,Femenino,Chimaltenango,Chimaltenango,Empresario,1 a 2 veces por semana,Aplicación de delivery,Otro,Q101 - Q150,Mundialitos Queso Picante; Fan Chips Jalapeño; Gol Nachos Supreme,Picante Chapín,Para compartir entre 2 personas,Q16 - Q20,No,Sí,Estados Unidos,Probablemente sí,Uruguay,Lionel Messi; Christian Pulisic; Neymar Jr.,Una selección nacional,2x1,No,Edición Argentina
52,2026-03-10,07:50:56,35 - 44 años,Masculino,Sololá,Otro municipio,Empleado privado,Rara vez,Otro,Familia,Menos de Q25,FutbolMix,Salado Tradicional,Tamaño fiesta o reunión,Q21 - Q30,Sí,Sí,Portugal,Probablemente no,Argentina,Lionel Messi; Cristiano Ronaldo,Humor,Descuento directo,Sí,Edición Brasil
53,2026-01-27,21:25:44,25 - 34 años,Masculino,Sololá, OTRO MUNICIPIO ,Empleado privado,Varias veces al mes,Gasolinera,Amigos,Q51 - Q100,FutbolMix; CrunchMax BBQ; Gol Nachos Supreme,Queso,Tamaño fiesta o reunión,Menos de Q10,Sí,Sí,Argentina,Probablemente sí,Brasil,Neymar Jr.; Jude Bellingham; Lamine Yamal,Un jugador famoso,Tarjetas coleccionables,Sí,Edición con jugadores famosos
54,2026-02-04,18:07:03,18 - 24 años,Femenino,Guatemala,Santa Catarina Pinula,Profesional independiente,1 a 2 veces por semana,Tienda de barrio,Familia,Más de Q150,CrunchMax BBQ; Gol Nachos Supreme,Queso,Individual,Q16 - Q20,No,Sí,Francia,Probablemente sí,Brasil,Kylian Mbappé,Humor,Sorteo de balones,No,Edición Argentina
55,2026-01-19,08:12:58,25 - 34 años,Femenino, QUETZALTENANGO ,,Comerciante,Rara vez,Gasolinera,Compañeros de trabajo,Q51 - Q100,Victory Pretzels,Queso,Familiar,Q21 - Q30,Sí,Sí,México,Probablemente sí,Alemania,Federico Valverde; Vinícius Júnior; Ninguno,Un jugador famoso,Descuento directo,Sí,Edición Argentina
56,2026-04-13,10:57:46,18 - 24 años,Masculino,Escuintla,Escuintla,Estudiante,3 a 5 veces por semana,Tienda de barrio,Familia,Q51 - Q100,Mundialitos Queso Picante,Caramelo,Familiar,Q10 - Q15,Sí,Sí,Brasil,Definitivamente sí,México,Lionel Messi; Neymar Jr.; Vinícius Júnior,Humor,Descuento directo,Sí,Edición con jugadores famosos
57,2026-03-31,22:19:16,55 años o más,Femenino,Guatemala,Mixco,Comerciante,Varias veces al mes,Gasolinera,Familia,Q51 - Q100,ChocoKick Bites; Mundialitos Queso Picante; Gol Nachos Supreme,Queso,Para compartir entre 2 personas,Q10 - Q15,No,Sí,Estados Unidos,Tal vez,Brasil,Neymar Jr.; Federico Valverde,Un jugador famoso,Tarjetas coleccionables,Sí,Edición con tarjetas coleccionables
58,2026-03-30,19:18:16,25 - 34 años,Masculino,Quetzaltenango,Coatepeque,Empresario,Varias veces al mes,Supermercado,Familia,Q25 - Q50,CrunchMax BBQ; ChocoKick Bites; Gol Nachos Supreme,Picante Chapín,Para compartir entre 2 personas,Q16 - Q20,Sí,Sí,Uruguay,Tal vez,Brasil,Neymar Jr.; Harry Kane; Lamine Yamal,Un jugador famoso,Producto gratis,Sí,Edición Argentina
59,2026-03-06,12:51:11,18 - 24 años,Femenino,Guatemala,Santa Catarina Pinula,Empresario,1 a 2 veces por semana,Tienda de barrio,Familia,Q25 - Q50,Hot Stadium Peanuts,Jalapeño,Familiar,Menos de Q10,Sí,Sí,Inglaterra,Probablemente sí,Nueva Zelanda,Kylian Mbappé; Neymar Jr.,Una selección nacional,Descuento directo,No,Edición Brasil
60,2026-03-29,11:39:33,45 - 54 años,Masculino,Guatemala,Santa Catarina Pinula,Empleado privado,1 a 2 veces por semana,Otro,Amigos,Menos de Q25,CrunchMax BBQ,Picante Chapín,Familiar,Q16 - Q20,No,Sí,Argentina,Tal vez,Brasil,Federico Valverde,Un jugador famoso,Descuento directo,No,Edición España
61,2026-02-06,16:19:28,55 años o más,Femenino,Guatemala,Mixco,Estudiante,3 a 5 veces por semana,Otro,Familia,Q101 - Q150,CrunchMax BBQ,Picante Chapín,Para compartir entre 2 personas,Q16 - Q20,No,Sí,Brasil,Definitivamente sí,Uruguay,Julián Álvarez; Neymar Jr.,Un jugador famoso,2x1,No,Edición con jugadores famosos
62,2026-04-15,22:05:23,55 años o más,Masculino,Escuintla,Palín,Estudiante,3 a 5 veces por semana,Tienda de barrio,Amigos,Q51 - Q100,Hot Stadium Peanuts,Barbacoa,Individual,Q21 - Q30,No,Sí,Inglaterra,Definitivamente sí,Portugal,Rodri; Cristiano Ronaldo,Un jugador famoso,Sorteo de camisetas,Sí,Edición Mundial FIFA 2026
63,2026-04-16,16:26:02,18 - 24 años,Femenino,Santa Rosa,Otro municipio,Profesional independiente,Todos los días,Tienda de barrio,Familia,Q25 - Q50,Victory Pretzels; ChocoKick Bites,Picante Chapín,Para compartir entre 2 personas,Q16 - Q20,Sí,Sí,Brasil,Probablemente no,México,Julián Álvarez; Cristiano Ronaldo,Un jugador famoso,Sorteo de balones,Sí,Edición Francia
64,2026-04-02,20:04:58,25 - 34 años,Masculino,San Marcos,Otro municipio,Profesional independiente,3 a 5 veces por semana,,Compañeros de trabajo,Menos de Q25,Gol Nachos Supreme; FutbolMix; CrunchMax BBQ,Barbacoa,Individual,Menos de Q10,Sí,Sí,Austria,Probablemente sí,México,Lionel Messi; Jude Bellingham; Cristiano Ronaldo,Una selección nacional,Sorteo de camisetas,Sí,Edición Francia
65,2026-04-27,12:41:53,Menos de 18 años,Femenino,El Progreso,El Progreso,Jubilado,Varias veces al mes,Gasolinera,Compañeros de trabajo,Q101 - Q150,Mundialitos Queso Picante; ChocoKick Bites,Salado Tradicional,Tamaño fiesta o reunión,Q10 - Q15,No,Sí,Argentina,Tal vez,México,Neymar Jr.,Historias de aficionados,Sorteo de camisetas,No,Edición Mundial FIFA 2026
66,2026-02-21,15:38:32,25 - 34 años,Femenino,Guatemala,Santa Catarina Pinula,Estudiante,1 a 2 veces por semana,Supermercado,Compañeros de trabajo,Q51 - Q100,Gol Nachos Supreme,Limón,Individual,Q16 - Q20,Sí,Sí,Estados Unidos,Definitivamente no,Uruguay,Julián Álvarez; Cristiano Ronaldo,Un jugador famoso,2x1,No,Edición Inglaterra
67,2026-04-04,10:41:19,25 - 34 años,Femenino,Guatemala,San Miguel Petapa,Empleado privado,3 a 5 veces por semana,Kiosco escolar/universitario,Familia,Q25 - Q50,Mundialitos Queso Picante; Victory Pretzels; FutbolMix,Salado Tradicional,Familiar,Q16 - Q20,Sí,Sí,Türkiye,Definitivamente sí,Alemania,Lionel Messi; Vinícius Júnior,Un jugador famoso,2x1,Sí,Edición Mundial FIFA 2026
68,2026-01-15,20:39:40,Menos de 18 años,Femenino, ESCUINTLA ,Escuintla,Ama de casa,Varias veces al mes,Tienda de barrio,Solo,Q25 - Q50,ChocoKick Bites; Gol Nachos Supreme,Caramelo,Familiar,Q16 - Q20,No,Sí,México,Tal vez,Portugal,Lionel Messi; Kylian Mbappé,Un jugador famoso,Sorteo de camisetas,No,Edición Mundial FIFA 2026
